Video_AD_Ratio,Video_AD_Spend_Ratio,Optimal_Video_AD_Ratio,Optimal_AD_Volume_Ratio,Ad_Creation_Volume,Ad_Creative_Fatigue,Video_Ad_Creative_Fatigue,Top_Ad_Performance,Top_Video_Ad_Performance
0.15,0.48,0.05,0.04,100,0,0,0.167,0.1304
0.17,0.48,0.06,0.06,100,8.6,5.7333,0.1649,0.1633
0.6,0.69,0.02,0.01,100,0,0,0.83,0.1268
0.34,0.47,0.09,0.06,99,5.1424,0.7175,0.1846,0.1058
0.28,0.46,0.03,0.07,99,6.4347,0.2186,0.2267,0.2319
0.16,0.4,0.11,0.06,100,0.4979,1.2284,0.1303,0.1191
0.18,0.45,0.05,0.05,100,0,0,0.1732,0.1177
0.07,0.45,0.01,0.05,97,0.1975,0.3215,0.1322,0.0782
0.37,0.57,0.05,0.05,99,9.9694,0.1778,0.3327,0.1418
0.12,0.44,0.02,0.02,100,5.7333,0,0.1648,0.1581
0.07,0.44,0.06,0.05,100,0,0,0.1583,0.1268
0.29,0.44,0.08,0.05,100,2.9561,1.9665,0.1628,0.0942
0.18,0.44,0.03,0,99,7.4686,1.2469,0.0687,0.1564
0.02,0.52,0.13,0.06,100,2.0877,2.5332,0.2769,0.1623
0.07,0.43,0.01,0.04,100,2.2695,2.0568,0.08,0.1324
0.17,0.42,0.03,0.03,100,5.7333,2.8667,0.1757,0.1642
0.29,0.36,0.25,0.1,100,0,0,0.16,0.16
0.06,0.42,0.07,0.08,100,4.1474,0.8006,0.1202,0.0991
0.35,0.75,0.06,0.04,100,0,0,0.1746,0.1573
0.65,0.77,0.1,0.04,100,0,0,0.149,0.1555
0.14,0.42,0.07,0.06,99,0.8004,0.4006,0.1474,0.1033
0.16,0.41,0.05,0.05,100,2.8667,2.8667,0.1744,0.1593
0.17,0.41,0.05,0.05,100,2.8667,5.7333,0.1682,0.161
0.14,0.41,0.01,0.05,99,8.2111,1.727,0.3073,0.1221
0.35,0.41,0.07,0.02,100,0.1565,0.5544,0.0897,0.1475
0.05,0.52,0.13,0.04,99,2.5659,0.7222,0.2762,0.1469
0.58,0.79,0.14,0.06,100,11.4667,8.6,0.156,0.1546
